Scenario_Sensors,Algorithm,Trial_ID,Fitness_Cost,Execution_Time_s,Energy_Total_J,Avg_Delay_s,Min_Link_Margin_dB
8,GWO,27,2.304460011804208,0.20081877708435059,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,28,2.304460011804208,0.193342924118042,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,29,2.304460011804208,0.0648958683013916,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,30,2.304460011804208,0.18050408363342285,0.01691863583440161,0.0014999999999999998,34.444072080996285
10,GA,1,2.677159917241914,0.672745943069458,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,2,2.677159917241914,0.8754260540008545,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,3,2.677159917241914,0.6785569190979004,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,4,2.677159917241914,0.6371309757232666,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,5,2.677159917241914,0.465087890625,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,6,2.677159917241914,0.6190142631530762,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,7,800.0,0.06067013740539551,,,0.0
10,GA,8,2.677159917241914,0.460921049118042,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,9,2.677159917241914,0.6764519214630127,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,10,2.677159917241914,0.642859935760498,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,11,2.677159917241914,0.6474430561065674,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,12,800.0,0.08231592178344727,,,0.0
10,GA,13,2.677159917241914,0.6297249794006348,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,14,2.677159917241914,0.6873760223388672,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,15,2.677159917241914,0.6593039035797119,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,16,2.677159917241914,0.42174196243286133,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,17,2.677159917241914,0.6736760139465332,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,18,2.677159917241914,0.6319448947906494,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,19,2.677159917241914,0.37531614303588867,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,20,2.677159917241914,0.5710370540618896,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,21,2.677159917241914,0.06705832481384277,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,22,2.677159917241914,0.3758049011230469,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,23,800.0,0.12798404693603516,,,0.0
10,GA,24,2.677159917241914,0.7152249813079834,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,25,2.677159917241914,0.7137353420257568,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,26,800.0,0.07131695747375488,,,0.0
10,GA,27,800.0,0.07906818389892578,,,0.0
10,GA,28,2.677159917241914,0.5694940090179443,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,29,2.677159917241914,0.22547197341918945,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,GA,30,2.677159917241914,0.592315673828125,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,1,2.677159917241914,0.07928276062011719,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,2,2.677159917241914,0.07950401306152344,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,3,2.677159917241914,0.11885595321655273,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,4,2.677159917241914,0.08723998069763184,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,5,2.677159917241914,0.10325813293457031,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,6,2.677159917241914,0.13149619102478027,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,7,2.677159917241914,0.09128284454345703,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,8,2.677159917241914,0.07970094680786133,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,9,2.677159917241914,0.11014819145202637,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,10,2.677159917241914,0.08021092414855957,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,11,2.677159917241914,0.1535351276397705,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,12,2.677159917241914,0.09815311431884766,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,13,2.677159917241914,0.1548299789428711,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,14,2.677159917241914,0.0679481029510498,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,15,2.677159917241914,0.17248201370239258,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,16,2.677159917241914,0.14557909965515137,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,17,2.677159917241914,0.0879507064819336,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,18,2.677159917241914,0.09156084060668945,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,19,2.677159917241914,0.09298896789550781,0.0200326769779173,0.0014999999999999998,35.44033002704042
10,PSO,20,2.677159917241914,0.11484599113464355,0.0200326769779173,0.0014999999999999998,35.44033002704042
